Date,High Temp F,Low Temp F,Humidity %
1-Jan,28,23,47
2-Jan,36,30,32
3-Jan,37,34,28
4-Jan,34,28,30
5-Jan,37,34,27
6-Jan,39,34,26
7-Jan,39,36,29
8-Jan,41,37,84
9-Jan,64,55,73
10-Jan,64,61,62
11-Jan,59,57,98
12-Jan,57,43,93
13-Jan,36,28,63
14-Jan,39,36,38
15-Jan,48,43,38
16-Jan,48,43,54
17-Jan,25,19,51
18-Jan,41,36,33
19-Jan,54,48,16
20-Jan,63,57,44
21-Jan,70,64,44
22-Jan,61,61,91
23-Jan,55,52,40
24-Jan,54,50,32
25-Jan,57,54,24
26-Jan,57,54,24
27-Jan,55,54,90
28-Jan,55,54,100
29-Jan,57,54,33
30-Jan,45,43,33
31-Jan,55,48,23
Feb-18,63,61,60
2-Feb,41,37,29
3-Feb,48,45,27
4-Feb,46,43,93
5-Feb,52,43,44
6-Feb,68,55,47
7-Feb,63,54,96
8-Feb,57,52,38
9-Feb,63,59,43
10-Feb,63,57,99
11-Feb,66,64,97
12-Feb,55,54,83
13-Feb,55,52,65
14-Feb,59,55,87
15-Feb,70,64,84
16-Feb,73,66,69
17-Feb,79,77,52
18-Feb,70,61,62
19-Feb,75,63,78
20-Feb,75,68,72
21-Feb,77,72,74
22-Feb,81,75,60
23-Feb,79,70,66
24-Feb,79,77,48
25-Feb,63,61,93
26-Feb,64,61,71
27-Feb,64,63,43
28-Feb,63,55,94
Mar-18,61,57,94
2-Mar,57,55,29
3-Mar,63,59,21
4-Mar,66,63,18
5-Mar,61,57,48
6-Mar,61,54,84
7-Mar,50,46,41
8-Mar,48,45,39
9-Mar,61,54,27
10-Mar,64,59,61
11-Mar,57,55,94
12-Mar,54,43,52
13-Mar,54,46,39
14-Mar,52,45,25
15-Mar,68,61,20
16-Mar,70,66,35
17-Mar,75,59,78
18-Mar,75,70,30
19-Mar,63,61,93
20-Mar,68,54,68
21-Mar,50,45,44
22-Mar,57,50,34
23-Mar,63,55,36
24-Mar,73,63,54
25-Mar,50,45,85
26-Mar,48,48,45
27-Mar,59,50,74
28-Mar,75,73,50
29-Mar,75,70,60
30-Mar,64,61,55
31-Mar,70,63,29
